 Col. 1 - year
 Col. 2 - month
 Col. 3 - day
 Col. 4 - hour
 Col. 5 - the time from the start of integration, hours
 Col. 6 - surface temperature, C
 Col. 7 - water skin temperature, C
 Col. 8 - water surface temperature, C
 Col. 9 - mean temperature of water coloumn, C
 Col. 10 - maximal temperature in the water coloumn, C
 Col. 11 - zero-dimensional model temperature, C
 Col. 12 - upper ice surface temperature, C
 Col. 13 - upper snow surface temperature, C
 Col. 14 - sensible heat flux,    W/m**2
 Col. 15 - latent heat flux,      W/m**2
 Col. 16 - downward heat flux at the upper lake surface, W/m**2
 Col. 17 - downward heat flux at the lake bottom, W/m**2
 Col. 18 - friction velocity at the surface (waterside), m/s
 Col. 19 - friction velocity at the bottom, m/s
 Col. 20 - wind work at the water surface, W/m**2
 Col. 21 - albedo of the lake-atmosphere interface, n/d
 Col. 22 - shortwave radiation penetrated below surface, W/m**2
 Col. 23 - significant wave height, m
 Col. 24 - bottom ice salinity, kg/kg
 Col. 25 - discharge in x direction, m**3/s
 Col. 26 - discharge in y direction, m**3/s
 Cols. 27... - top soil columns temperature, m
   2018      7      2   12.00        24.00   0.17377E+02   0.00000E+00   0.17377E+02   0.17398E+02   0.17519E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.27078E+02   0.58751E+02  -0.12838E+03  -0.79078E+02   0.32337E-02   0.15135E-05   0.61943E-03       0.16      96.72     0.0000  0.00   0.46156E-01   0.24247E+00    17.4822    17.5096    17.4663    16.6251    16.4692
   2018      7      3   12.00        48.00   0.15706E+02   0.00000E+00   0.15706E+02   0.15801E+02   0.15846E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.21222E+02   0.42135E+02  -0.95708E+02  -0.58077E+02   0.35308E-02   0.11323E-04   0.89248E-03       0.16     108.47     0.0000  0.00   0.56488E-01  -0.10961E+00    15.7839    15.8079    15.8138    15.8196    15.8445
   2018      7      4   12.00        72.00   0.15320E+02   0.00000E+00   0.15320E+02   0.15389E+02   0.15435E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.15229E+02   0.39500E+02  -0.87752E+02  -0.65056E+02   0.33011E-02   0.96806E-05   0.65197E-03       0.16     139.45     0.0000  0.00   0.46906E-01  -0.35514E+00    15.3752    15.3945    15.3996    15.4058    15.4348
   2018      7      5   12.00        96.00   0.15536E+02   0.00000E+00   0.15536E+02   0.15599E+02   0.15650E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.82765E+01   0.41431E+02  -0.90172E+02  -0.77872E+02   0.35711E-02   0.12661E-04   0.11776E-02       0.16     192.26     0.0000  0.00   0.34443E-01  -0.10749E+01    15.5856    15.6024    15.6076    15.6151    15.6486
   2018      7      6   12.00       120.00   0.16703E+02   0.00000E+00   0.16703E+02   0.16762E+02   0.16818E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.58112E+00   0.46505E+02  -0.10187E+03  -0.89892E+02   0.42795E-02   0.20841E-04   0.25212E-02       0.16     253.97     0.0000  0.00   0.69799E-01  -0.69744E+00    16.7507    16.7647    16.7699    16.7785    16.8146
   2018      7      7   12.00       144.00   0.18039E+02   0.00000E+00   0.18039E+02   0.18138E+02   0.18200E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.19612E+01   0.59059E+02  -0.12751E+03  -0.93580E+02   0.41737E-02   0.21668E-04   0.26594E-02       0.16     274.10     0.0000  0.00   0.37339E-01   0.12746E+01    18.1212    18.1429    18.1491    18.1588    18.1948
   2018      7      8   12.00       168.00   0.18591E+02   0.00000E+00   0.18591E+02   0.18750E+02   0.18827E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.11520E+02   0.85268E+02  -0.16163E+03  -0.91064E+02   0.53541E-02   0.49313E-04   0.63362E-02       0.16     247.92     0.0000  0.00  -0.34105E-01   0.29265E+01    18.7266    18.7590    18.7671    18.7784    18.8137
   2018      7      9   12.00       192.00   0.18569E+02   0.00000E+00   0.18569E+02   0.18747E+02   0.18820E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.18205E+02   0.73030E+02  -0.14893E+03  -0.80554E+02   0.49459E-02   0.33895E-04   0.50680E-02       0.16     216.10     0.0000  0.00   0.37328E-01   0.24249E+01    18.7203    18.7572    18.7651    18.7758    18.8081
   2018      7     10   12.00       216.00   0.18318E+02   0.00000E+00   0.18318E+02   0.18485E+02   0.18551E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.23246E+02   0.71569E+02  -0.14774E+03  -0.71172E+02   0.44202E-02   0.25032E-04   0.33405E-02       0.16     180.01     0.0000  0.00   0.40434E-02   0.18378E+01    18.4591    18.4956    18.5042    18.5140    18.5421
   2018      7     11   12.00       240.00   0.17672E+02   0.00000E+00   0.17672E+02   0.17771E+02   0.17819E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.19462E+02   0.51050E+02  -0.11727E+03  -0.59026E+02   0.29117E-02   0.12346E-04   0.10103E-02       0.16     140.71     0.0000  0.00  -0.93109E-02   0.69574E+00    17.7543    17.7774    17.7839    17.7911    17.8145
