"Data Hora, GMT-03:00","Temp., °F (LGR S/N: 10600576, SEN S/N: 10600576)"
07/26/18 20H0min0s,77.4
07/26/18 20H30min0s,77.4
07/26/18 21H0min0s,77.4
07/26/18 21H30min0s,77.4
07/26/18 22H0min0s,77.225
07/26/18 22H30min0s,77.05
07/26/18 23H0min0s,76.876
07/26/18 23H30min0s,76.528
07/27/18 00H0min0s,76.181
07/27/18 00H30min0s,75.832
07/27/18 01H0min0s,75.484
07/27/18 01H30min0s,75.312
07/27/18 02H0min0s,74.964
07/27/18 02H30min0s,74.619
07/27/18 03H0min0s,74.446
07/27/18 03H30min0s,74.098
07/27/18 04H0min0s,73.926
07/27/18 04H30min0s,73.753
07/27/18 05H0min0s,73.58
07/27/18 05H30min0s,73.407
07/27/18 06H0min0s,73.062
07/27/18 06H30min0s,72.891
07/27/18 07H0min0s,72.718
07/27/18 07H30min0s,72.545
07/27/18 08H0min0s,72.545
07/27/18 08H30min0s,72.718
07/27/18 09H0min0s,73.062
07/27/18 09H30min0s,73.407
07/27/18 10H0min0s,74.098
07/27/18 10H30min0s,74.964
07/27/18 11H0min0s,75.139
07/27/18 11H30min0s,75.312
07/27/18 12H0min0s,76.181
07/27/18 12H30min0s,77.05
07/27/18 13H0min0s,77.225
07/27/18 13H30min0s,78.449
07/27/18 14H0min0s,78.449
07/27/18 14H30min0s,78.449
07/27/18 15H0min0s,78.624
07/27/18 15H30min0s,78.624
07/27/18 16H0min0s,78.8
07/27/18 16H30min0s,78.274
07/27/18 17H0min0s,78.274
07/27/18 17H30min0s,77.749
07/27/18 18H0min0s,77.749
07/27/18 18H30min0s,77.749
07/27/18 19H0min0s,77.749
07/27/18 19H30min0s,77.749
07/27/18 20H0min0s,77.749
07/27/18 20H30min0s,77.749
07/27/18 21H0min0s,77.749
07/27/18 21H30min0s,77.749
07/27/18 22H0min0s,77.574
07/27/18 22H30min0s,77.4
07/27/18 23H0min0s,77.05
07/27/18 23H30min0s,76.703
07/28/18 00H0min0s,76.354
07/28/18 00H30min0s,76.006
07/28/18 01H0min0s,75.659
07/28/18 01H30min0s,75.312
07/28/18 02H0min0s,75.139
07/28/18 02H30min0s,74.791
07/28/18 03H0min0s,74.446
07/28/18 03H30min0s,74.271
07/28/18 04H0min0s,73.926
07/28/18 04H30min0s,73.753
07/28/18 05H0min0s,73.58
07/28/18 05H30min0s,73.407
07/28/18 06H0min0s,73.062
07/28/18 06H30min0s,72.891
07/28/18 07H0min0s,72.718
07/28/18 07H30min0s,72.545
07/28/18 08H0min0s,72.545
07/28/18 08H30min0s,72.718
07/28/18 09H0min0s,73.062
07/28/18 09H30min0s,73.58
07/28/18 10H0min0s,74.098
07/28/18 10H30min0s,74.619
07/28/18 11H0min0s,75.139
07/28/18 11H30min0s,76.181
07/28/18 12H0min0s,76.181
07/28/18 12H30min0s,77.4
07/28/18 13H0min0s,78.098
07/28/18 13H30min0s,78.624
07/28/18 14H0min0s,77.749
07/28/18 14H30min0s,78.274
07/28/18 15H0min0s,78.624
07/28/18 15H30min0s,78.8
07/28/18 16H0min0s,78.098
07/28/18 16H30min0s,77.749
07/28/18 17H0min0s,77.923
07/28/18 17H30min0s,77.749
07/28/18 18H0min0s,77.749
07/28/18 18H30min0s,77.749
07/28/18 19H0min0s,77.749
07/28/18 19H30min0s,77.749
07/28/18 20H0min0s,77.749
07/28/18 20H30min0s,77.749
07/28/18 21H0min0s,77.749
07/28/18 21H30min0s,77.749
07/28/18 22H0min0s,77.574
07/28/18 22H30min0s,77.4
07/28/18 23H0min0s,77.05
07/28/18 23H30min0s,76.703
07/29/18 00H0min0s,76.354
07/29/18 00H30min0s,76.006
07/29/18 01H0min0s,75.659
07/29/18 01H30min0s,75.312
07/29/18 02H0min0s,74.964
07/29/18 02H30min0s,74.791
07/29/18 03H0min0s,74.446
07/29/18 03H30min0s,74.098
07/29/18 04H0min0s,73.926
07/29/18 04H30min0s,73.753
07/29/18 05H0min0s,73.407
07/29/18 05H30min0s,73.234
07/29/18 06H0min0s,73.062
07/29/18 06H30min0s,72.891
07/29/18 07H0min0s,72.545
07/29/18 07H30min0s,72.545
07/29/18 08H0min0s,72.372
07/29/18 08H30min0s,72.718
07/29/18 09H0min0s,72.891
07/29/18 09H30min0s,73.407
07/29/18 10H0min0s,74.271
07/29/18 10H30min0s,74.619
07/29/18 11H0min0s,74.791
07/29/18 11H30min0s,75.659
07/29/18 12H0min0s,74.791
07/29/18 12H30min0s,74.791
07/29/18 13H0min0s,75.312
07/29/18 13H30min0s,75.659
07/29/18 14H0min0s,75.832
07/29/18 14H30min0s,76.354
07/29/18 15H0min0s,77.749
07/29/18 15H30min0s,76.876
07/29/18 16H0min0s,77.225
07/29/18 16H30min0s,77.4
07/29/18 17H0min0s,77.574
07/29/18 17H30min0s,77.574
07/29/18 18H0min0s,77.574
07/29/18 18H30min0s,77.574
07/29/18 19H0min0s,77.574
07/29/18 19H30min0s,77.574
07/29/18 20H0min0s,77.574
07/29/18 20H30min0s,77.574
07/29/18 21H0min0s,77.574
07/29/18 21H30min0s,77.574
07/29/18 22H0min0s,77.574
07/29/18 22H30min0s,77.225
07/29/18 23H0min0s,76.876
07/29/18 23H30min0s,76.528
07/30/18 00H0min0s,76.354
07/30/18 00H30min0s,76.006
07/30/18 01H0min0s,75.659
07/30/18 01H30min0s,75.312
07/30/18 02H0min0s,74.964
07/30/18 02H30min0s,74.619
07/30/18 03H0min0s,74.271
07/30/18 03H30min0s,74.098
07/30/18 04H0min0s,73.753
07/30/18 04H30min0s,73.58
07/30/18 05H0min0s,73.407
07/30/18 05H30min0s,73.234
07/30/18 06H0min0s,72.891
07/30/18 06H30min0s,72.718
07/30/18 07H0min0s,72.372
07/30/18 07H30min0s,72.199
07/30/18 08H0min0s,72.199
07/30/18 08H30min0s,72.199
07/30/18 09H0min0s,72.372
07/30/18 09H30min0s,72.545
07/30/18 10H0min0s,73.58
07/30/18 10H30min0s,74.098
07/30/18 11H0min0s,74.619
07/30/18 11H30min0s,74.964
07/30/18 12H0min0s,75.659
07/30/18 12H30min0s,76.181
07/30/18 13H0min0s,76.876
07/30/18 13H30min0s,77.225
07/30/18 14H0min0s,77.749
07/30/18 14H30min0s,77.574
07/30/18 15H0min0s,77.749
07/30/18 15H30min0s,77.225
07/30/18 16H0min0s,77.574
07/30/18 16H30min0s,77.4
07/30/18 17H0min0s,77.4
07/30/18 17H30min0s,77.4
07/30/18 18H0min0s,77.4
07/30/18 18H30min0s,77.4
07/30/18 19H0min0s,77.4
07/30/18 19H30min0s,77.4
07/30/18 20H0min0s,77.4
07/30/18 20H30min0s,77.4
07/30/18 21H0min0s,77.574
07/30/18 21H30min0s,77.574
07/30/18 22H0min0s,77.4
07/30/18 22H30min0s,77.225
07/30/18 23H0min0s,76.876
07/30/18 23H30min0s,76.703
07/31/18 00H0min0s,76.354
07/31/18 00H30min0s,76.006
07/31/18 01H0min0s,75.659
07/31/18 01H30min0s,75.312
07/31/18 02H0min0s,74.964
07/31/18 02H30min0s,74.619
07/31/18 03H0min0s,74.446
07/31/18 03H30min0s,74.098
07/31/18 04H0min0s,73.926
07/31/18 04H30min0s,73.753
07/31/18 05H0min0s,73.58
07/31/18 05H30min0s,73.407
07/31/18 06H0min0s,73.234
07/31/18 06H30min0s,72.891
07/31/18 07H0min0s,72.718
07/31/18 07H30min0s,72.718
07/31/18 08H0min0s,72.545
07/31/18 08H30min0s,72.718
07/31/18 09H0min0s,72.718
07/31/18 09H30min0s,73.062
07/31/18 10H0min0s,73.926
07/31/18 10H30min0s,74.098
07/31/18 11H0min0s,74.619
07/31/18 11H30min0s,75.484
07/31/18 12H0min0s,76.354
07/31/18 12H30min0s,76.354
07/31/18 13H0min0s,76.006
07/31/18 13H30min0s,77.225
07/31/18 14H0min0s,77.225
07/31/18 14H30min0s,78.274
07/31/18 15H0min0s,77.05
07/31/18 15H30min0s,77.225
07/31/18 16H0min0s,77.4
07/31/18 16H30min0s,77.4
07/31/18 17H0min0s,77.4
07/31/18 17H30min0s,77.4
07/31/18 18H0min0s,77.4
07/31/18 18H30min0s,77.4
07/31/18 19H0min0s,77.4
07/31/18 19H30min0s,77.4
07/31/18 20H0min0s,77.4
07/31/18 20H30min0s,77.4
07/31/18 21H0min0s,77.574
07/31/18 21H30min0s,77.4
07/31/18 22H0min0s,77.4
07/31/18 22H30min0s,77.4
07/31/18 23H0min0s,77.225
07/31/18 23H30min0s,76.876
08/01/18 00H0min0s,76.703
08/01/18 00H30min0s,76.354
08/01/18 01H0min0s,76.006
08/01/18 01H30min0s,75.832
08/01/18 02H0min0s,75.484
08/01/18 02H30min0s,75.139
08/01/18 03H0min0s,74.964
08/01/18 03H30min0s,74.791
08/01/18 04H0min0s,74.446
08/01/18 04H30min0s,74.271
08/01/18 05H0min0s,74.098
08/01/18 05H30min0s,73.926
08/01/18 06H0min0s,73.58
08/01/18 06H30min0s,73.407
08/01/18 07H0min0s,73.234
08/01/18 07H30min0s,73.062
08/01/18 08H0min0s,72.891
08/01/18 08H30min0s,73.062
08/01/18 09H0min0s,73.062
08/01/18 09H30min0s,73.407
08/01/18 10H0min0s,74.446
08/01/18 10H30min0s,74.964
08/01/18 11H0min0s,75.484
08/01/18 11H30min0s,75.832
08/01/18 12H0min0s,74.791
08/01/18 12H30min0s,76.528
08/01/18 13H0min0s,76.876
08/01/18 13H30min0s,75.832
08/01/18 14H0min0s,76.181
08/01/18 14H30min0s,76.528
08/01/18 15H0min0s,76.703
08/01/18 15H30min0s,77.05
08/01/18 16H0min0s,77.574
08/01/18 16H30min0s,77.4
08/01/18 17H0min0s,77.574
08/01/18 17H30min0s,77.574
08/01/18 18H0min0s,77.574
08/01/18 18H30min0s,77.574
08/01/18 19H0min0s,77.574
08/01/18 19H30min0s,77.749
08/01/18 20H0min0s,77.574
08/01/18 20H30min0s,77.574
08/01/18 21H0min0s,77.749
08/01/18 21H30min0s,77.749
08/01/18 22H0min0s,77.574
08/01/18 22H30min0s,77.4
08/01/18 23H0min0s,77.05
08/01/18 23H30min0s,76.703
08/02/18 00H0min0s,76.354
08/02/18 00H30min0s,76.181
08/02/18 01H0min0s,75.832
08/02/18 01H30min0s,75.484
08/02/18 02H0min0s,75.139
08/02/18 02H30min0s,74.964
08/02/18 03H0min0s,74.619
08/02/18 03H30min0s,74.271
08/02/18 04H0min0s,74.098
08/02/18 04H30min0s,73.926
08/02/18 05H0min0s,73.753
08/02/18 05H30min0s,73.407
08/02/18 06H0min0s,73.234
08/02/18 06H30min0s,73.062
08/02/18 07H0min0s,72.891
08/02/18 07H30min0s,72.718
08/02/18 08H0min0s,72.545
08/02/18 08H30min0s,72.545
08/02/18 09H0min0s,72.718
08/02/18 09H30min0s,72.891
08/02/18 10H0min0s,73.062
08/02/18 10H30min0s,73.234
08/02/18 11H0min0s,73.753
08/02/18 11H30min0s,74.098
08/02/18 12H0min0s,74.791
08/02/18 12H30min0s,74.964
08/02/18 13H0min0s,76.528
08/02/18 13H30min0s,76.181
08/02/18 14H0min0s,76.181
08/02/18 14H30min0s,76.703
08/02/18 15H0min0s,77.05
08/02/18 15H30min0s,77.225
08/02/18 16H0min0s,77.4
08/02/18 16H30min0s,77.749
08/02/18 17H0min0s,77.749
08/02/18 17H30min0s,77.749
08/02/18 18H0min0s,77.923
08/02/18 18H30min0s,77.923
08/02/18 19H0min0s,77.749
08/02/18 19H30min0s,77.749
08/02/18 20H0min0s,77.749
08/02/18 20H30min0s,77.749
08/02/18 21H0min0s,77.749
08/02/18 21H30min0s,77.749
08/02/18 22H0min0s,77.749
08/02/18 22H30min0s,77.749
08/02/18 23H0min0s,77.4
08/02/18 23H30min0s,77.225
08/03/18 00H0min0s,76.876
08/03/18 00H30min0s,76.528
08/03/18 01H0min0s,76.181
08/03/18 01H30min0s,75.832
08/03/18 02H0min0s,75.484
08/03/18 02H30min0s,75.139
08/03/18 03H0min0s,74.791
08/03/18 03H30min0s,74.619
08/03/18 04H0min0s,74.271
08/03/18 04H30min0s,74.098
08/03/18 05H0min0s,73.926
08/03/18 05H30min0s,73.58
08/03/18 06H0min0s,73.407
08/03/18 06H30min0s,73.062
08/03/18 07H0min0s,72.891
08/03/18 07H30min0s,72.718
08/03/18 08H0min0s,72.545
08/03/18 08H30min0s,72.545
08/03/18 09H0min0s,72.718
08/03/18 09H30min0s,72.718
08/03/18 10H0min0s,73.234
08/03/18 10H30min0s,73.58
08/03/18 11H0min0s,74.446
08/03/18 11H30min0s,74.271
08/03/18 12H0min0s,75.139
08/03/18 12H30min0s,75.659
08/03/18 13H0min0s,75.139
08/03/18 13H30min0s,76.006
08/03/18 14H0min0s,76.006
08/03/18 14H30min0s,77.05
08/03/18 15H0min0s,76.876
08/03/18 15H30min0s,77.05
08/03/18 16H0min0s,77.225
08/03/18 16H30min0s,77.4
08/03/18 17H0min0s,77.574
08/03/18 17H30min0s,77.574
08/03/18 18H0min0s,77.574
08/03/18 18H30min0s,77.574
08/03/18 19H0min0s,77.574
08/03/18 19H30min0s,77.574
08/03/18 20H0min0s,77.574
08/03/18 20H30min0s,77.574
08/03/18 21H0min0s,77.574
08/03/18 21H30min0s,77.574
08/03/18 22H0min0s,77.574
08/03/18 22H30min0s,77.574
08/03/18 23H0min0s,77.4
08/03/18 23H30min0s,77.05
08/04/18 00H0min0s,76.876
08/04/18 00H30min0s,76.528
08/04/18 01H0min0s,76.181
08/04/18 01H30min0s,76.006
08/04/18 02H0min0s,75.659
08/04/18 02H30min0s,75.484
08/04/18 03H0min0s,75.139
08/04/18 03H30min0s,74.964
08/04/18 04H0min0s,74.791
08/04/18 04H30min0s,74.791
08/04/18 05H0min0s,74.446
08/04/18 05H30min0s,74.271
08/04/18 06H0min0s,74.098
08/04/18 06H30min0s,73.926
08/04/18 07H0min0s,73.753
08/04/18 07H30min0s,73.58
08/04/18 08H0min0s,73.58
08/04/18 08H30min0s,73.58
08/04/18 09H0min0s,73.753
08/04/18 09H30min0s,73.926
08/04/18 10H0min0s,74.098
08/04/18 10H30min0s,74.098
08/04/18 11H0min0s,75.659
08/04/18 11H30min0s,74.964
08/04/18 12H0min0s,76.181
08/04/18 12H30min0s,76.181
08/04/18 13H0min0s,76.006
08/04/18 13H30min0s,76.354
08/04/18 14H0min0s,77.574
08/04/18 14H30min0s,77.749
08/04/18 15H0min0s,77.4
08/04/18 15H30min0s,77.923
08/04/18 16H0min0s,78.098
08/04/18 16H30min0s,78.274
08/04/18 17H0min0s,78.274
08/04/18 17H30min0s,78.449
08/04/18 18H0min0s,78.449
08/04/18 18H30min0s,78.449
08/04/18 19H0min0s,78.274
08/04/18 19H30min0s,78.274
08/04/18 20H0min0s,78.274
08/04/18 20H30min0s,78.449
08/04/18 21H0min0s,78.449
08/04/18 21H30min0s,78.624
08/04/18 22H0min0s,78.274
08/04/18 22H30min0s,78.098
08/04/18 23H0min0s,77.923
08/04/18 23H30min0s,77.574
08/05/18 00H0min0s,77.225
08/05/18 00H30min0s,76.876
08/05/18 01H0min0s,76.528
08/05/18 01H30min0s,76.181
08/05/18 02H0min0s,76.006
08/05/18 02H30min0s,75.659
08/05/18 03H0min0s,75.484
08/05/18 03H30min0s,75.139
08/05/18 04H0min0s,74.964
08/05/18 04H30min0s,74.791
08/05/18 05H0min0s,74.619
08/05/18 05H30min0s,74.446
08/05/18 06H0min0s,74.098
08/05/18 06H30min0s,73.926
08/05/18 07H0min0s,73.753
08/05/18 07H30min0s,73.58
08/05/18 08H0min0s,73.58
08/05/18 08H30min0s,73.58
08/05/18 09H0min0s,73.753
08/05/18 09H30min0s,73.753
08/05/18 10H0min0s,74.098
08/05/18 10H30min0s,74.098
08/05/18 11H0min0s,74.446
08/05/18 11H30min0s,74.964
08/05/18 12H0min0s,75.139
08/05/18 12H30min0s,75.659
08/05/18 13H0min0s,75.659
08/05/18 13H30min0s,75.832
08/05/18 14H0min0s,76.354
08/05/18 14H30min0s,77.05
08/05/18 15H0min0s,76.876
08/05/18 15H30min0s,77.225
08/05/18 16H0min0s,77.574
08/05/18 16H30min0s,77.574
08/05/18 17H0min0s,77.749
08/05/18 17H30min0s,77.749
08/05/18 18H0min0s,77.749
08/05/18 18H30min0s,77.749
08/05/18 19H0min0s,77.749
08/05/18 19H30min0s,77.749
08/05/18 20H0min0s,77.749
08/05/18 20H30min0s,77.749
08/05/18 21H0min0s,77.749
08/05/18 21H30min0s,77.749
08/05/18 22H0min0s,77.749
08/05/18 22H30min0s,77.749
08/05/18 23H0min0s,77.574
08/05/18 23H30min0s,77.574
08/06/18 00H0min0s,77.225
08/06/18 00H30min0s,76.876
08/06/18 01H0min0s,76.703
08/06/18 01H30min0s,76.528
08/06/18 02H0min0s,76.354
08/06/18 02H30min0s,76.006
08/06/18 03H0min0s,75.832
08/06/18 03H30min0s,75.659
08/06/18 04H0min0s,75.484
08/06/18 04H30min0s,75.312
08/06/18 05H0min0s,75.139
08/06/18 05H30min0s,74.791
08/06/18 06H0min0s,74.791
08/06/18 06H30min0s,74.619
08/06/18 07H0min0s,74.446
08/06/18 07H30min0s,74.446
08/06/18 08H0min0s,74.446
08/06/18 08H30min0s,74.619
08/06/18 09H0min0s,74.791
08/06/18 09H30min0s,75.139
08/06/18 10H0min0s,75.659
08/06/18 10H30min0s,75.484
08/06/18 11H0min0s,76.354
08/06/18 11H30min0s,76.528
08/06/18 12H0min0s,76.703
08/06/18 12H30min0s,77.4
08/06/18 13H0min0s,77.225
08/06/18 13H30min0s,77.4
08/06/18 14H0min0s,77.923
08/06/18 14H30min0s,77.923
08/06/18 15H0min0s,78.624
08/06/18 15H30min0s,78.8
08/06/18 16H0min0s,78.975
08/06/18 16H30min0s,79.151
08/06/18 17H0min0s,79.151
08/06/18 17H30min0s,79.151
08/06/18 18H0min0s,79.151
08/06/18 18H30min0s,79.151
08/06/18 19H0min0s,79.151
08/06/18 19H30min0s,79.151
08/06/18 20H0min0s,79.151
08/06/18 20H30min0s,79.151
08/06/18 21H0min0s,79.151
08/06/18 21H30min0s,79.151
08/06/18 22H0min0s,78.975
08/06/18 22H30min0s,78.624
08/06/18 23H0min0s,78.274
08/06/18 23H30min0s,77.923
08/07/18 00H0min0s,77.574
08/07/18 00H30min0s,77.225
08/07/18 01H0min0s,76.876
08/07/18 01H30min0s,76.703
08/07/18 02H0min0s,76.354
08/07/18 02H30min0s,76.006
08/07/18 03H0min0s,75.832
08/07/18 03H30min0s,75.484
08/07/18 04H0min0s,75.312
08/07/18 04H30min0s,75.139
08/07/18 05H0min0s,74.791
08/07/18 05H30min0s,74.619
08/07/18 06H0min0s,74.446
08/07/18 06H30min0s,74.271
08/07/18 07H0min0s,74.098
08/07/18 07H30min0s,73.926
08/07/18 08H0min0s,73.926
08/07/18 08H30min0s,74.098
08/07/18 09H0min0s,74.271
08/07/18 09H30min0s,74.446
08/07/18 10H0min0s,74.964
08/07/18 10H30min0s,75.832
08/07/18 11H0min0s,76.006
08/07/18 11H30min0s,75.659
08/07/18 12H0min0s,76.528
08/07/18 12H30min0s,76.354
08/07/18 13H0min0s,76.354
08/07/18 13H30min0s,76.703
08/07/18 14H0min0s,77.05
08/07/18 14H30min0s,77.574
08/07/18 15H0min0s,77.923
08/07/18 15H30min0s,78.274
08/07/18 16H0min0s,78.449
08/07/18 16H30min0s,78.624
08/07/18 17H0min0s,78.8
08/07/18 17H30min0s,78.8
08/07/18 18H0min0s,78.8
08/07/18 18H30min0s,78.8
08/07/18 19H0min0s,78.8
08/07/18 19H30min0s,78.8
08/07/18 20H0min0s,78.8
08/07/18 20H30min0s,78.8
08/07/18 21H0min0s,78.8
08/07/18 21H30min0s,78.624
08/07/18 22H0min0s,78.8
08/07/18 22H30min0s,78.624
08/07/18 23H0min0s,78.449
08/07/18 23H30min0s,78.274
08/08/18 00H0min0s,77.923
08/08/18 00H30min0s,77.574
08/08/18 01H0min0s,77.225
08/08/18 01H30min0s,76.876
08/08/18 02H0min0s,76.703
08/08/18 02H30min0s,76.354
08/08/18 03H0min0s,76.181
08/08/18 03H30min0s,75.832
08/08/18 04H0min0s,75.659
08/08/18 04H30min0s,75.484
08/08/18 05H0min0s,75.139
08/08/18 05H30min0s,74.964
08/08/18 06H0min0s,74.791
08/08/18 06H30min0s,74.619
08/08/18 07H0min0s,74.446
08/08/18 07H30min0s,74.271
08/08/18 08H0min0s,74.446
08/08/18 08H30min0s,74.446
08/08/18 09H0min0s,74.619
08/08/18 09H30min0s,74.619
08/08/18 10H0min0s,74.964
08/08/18 10H30min0s,75.484
08/08/18 11H0min0s,75.659
08/08/18 11H30min0s,75.659
08/08/18 12H0min0s,76.181
08/08/18 12H30min0s,76.528
08/08/18 13H0min0s,76.703
08/08/18 13H30min0s,77.574
08/08/18 14H0min0s,77.749
08/08/18 14H30min0s,78.274
08/08/18 15H0min0s,78.624
08/08/18 15H30min0s,78.8
08/08/18 16H0min0s,79.151
08/08/18 16H30min0s,79.151
08/08/18 17H0min0s,79.326
08/08/18 17H30min0s,79.502
08/08/18 18H0min0s,79.502
08/08/18 18H30min0s,79.326
08/08/18 19H0min0s,79.326
08/08/18 19H30min0s,79.502
08/08/18 20H0min0s,79.326
08/08/18 20H30min0s,79.326
08/08/18 21H0min0s,79.326
08/08/18 21H30min0s,79.326
08/08/18 22H0min0s,79.326
08/08/18 22H30min0s,79.151
08/08/18 23H0min0s,78.975
08/08/18 23H30min0s,78.8
08/09/18 00H0min0s,78.449
08/09/18 00H30min0s,78.098
08/09/18 01H0min0s,77.923
08/09/18 01H30min0s,77.574
08/09/18 02H0min0s,77.225
08/09/18 02H30min0s,76.876
08/09/18 03H0min0s,76.703
08/09/18 03H30min0s,76.528
08/09/18 04H0min0s,76.354
08/09/18 04H30min0s,76.181
08/09/18 05H0min0s,76.006
08/09/18 05H30min0s,75.832
08/09/18 06H0min0s,75.659
08/09/18 06H30min0s,75.484
08/09/18 07H0min0s,75.484
08/09/18 07H30min0s,75.312
08/09/18 08H0min0s,75.312
08/09/18 08H30min0s,75.484
08/09/18 09H0min0s,75.659
08/09/18 09H30min0s,76.354
08/09/18 10H0min0s,76.354
08/09/18 10H30min0s,77.225
08/09/18 11H0min0s,77.749
08/09/18 11H30min0s,78.274
08/09/18 12H0min0s,78.449
08/09/18 12H30min0s,78.449
08/09/18 13H0min0s,77.923
08/09/18 13H30min0s,79.853
08/09/18 14H0min0s,78.624
08/09/18 14H30min0s,78.624
08/09/18 15H0min0s,79.678
08/09/18 15H30min0s,80.382
08/09/18 16H0min0s,80.206
08/09/18 16H30min0s,80.029
08/09/18 17H0min0s,79.502
08/09/18 17H30min0s,79.326
08/09/18 18H0min0s,79.151
08/09/18 18H30min0s,79.151
08/09/18 19H0min0s,79.151
08/09/18 19H30min0s,79.151
08/09/18 20H0min0s,79.151
08/09/18 20H30min0s,79.151
08/09/18 21H0min0s,79.151
08/09/18 21H30min0s,79.151
08/09/18 22H0min0s,79.151
08/09/18 22H30min0s,79.151
08/09/18 23H0min0s,78.975
08/09/18 23H30min0s,78.8
08/10/18 00H0min0s,78.624
08/10/18 00H30min0s,78.449
08/10/18 01H0min0s,78.274
08/10/18 01H30min0s,77.923
08/10/18 02H0min0s,77.749
08/10/18 02H30min0s,77.574
08/10/18 03H0min0s,77.4
08/10/18 03H30min0s,77.225
08/10/18 04H0min0s,76.876
08/10/18 04H30min0s,76.876
08/10/18 05H0min0s,76.703
08/10/18 05H30min0s,76.528
08/10/18 06H0min0s,76.354
08/10/18 06H30min0s,76.181
08/10/18 07H0min0s,76.006
08/10/18 07H30min0s,75.832
08/10/18 08H0min0s,75.832
08/10/18 08H30min0s,76.006
08/10/18 09H0min0s,76.181
08/10/18 09H30min0s,76.528
08/10/18 10H0min0s,77.05
08/10/18 10H30min0s,77.4
08/10/18 11H0min0s,77.749
08/10/18 11H30min0s,78.274
08/10/18 12H0min0s,78.449
08/10/18 12H30min0s,79.502
08/10/18 13H0min0s,80.029
08/10/18 13H30min0s,79.853
08/10/18 14H0min0s,79.853
08/10/18 14H30min0s,79.853
08/10/18 15H0min0s,79.853
08/10/18 15H30min0s,80.559
08/10/18 16H0min0s,80.559
08/10/18 16H30min0s,80.382
08/10/18 17H0min0s,80.206
08/10/18 17H30min0s,80.029
08/10/18 18H0min0s,80.029
08/10/18 18H30min0s,79.853
08/10/18 19H0min0s,79.853
08/10/18 19H30min0s,79.853
08/10/18 20H0min0s,79.853
08/10/18 20H30min0s,79.853
08/10/18 21H0min0s,79.853
08/10/18 21H30min0s,79.853
08/10/18 22H0min0s,79.678
08/10/18 22H30min0s,79.502
08/10/18 23H0min0s,79.326
08/10/18 23H30min0s,78.975
08/11/18 00H0min0s,78.624
08/11/18 00H30min0s,78.274
08/11/18 01H0min0s,77.923
08/11/18 01H30min0s,77.749
08/11/18 02H0min0s,77.4
08/11/18 02H30min0s,77.225
08/11/18 03H0min0s,76.876
08/11/18 03H30min0s,76.703
08/11/18 04H0min0s,76.528
08/11/18 04H30min0s,76.354
08/11/18 05H0min0s,76.181
08/11/18 05H30min0s,76.006
08/11/18 06H0min0s,75.832
08/11/18 06H30min0s,75.659
08/11/18 07H0min0s,75.484
08/11/18 07H30min0s,75.484
08/11/18 08H0min0s,75.659
08/11/18 08H30min0s,75.832
08/11/18 09H0min0s,76.181
08/11/18 09H30min0s,76.528
08/11/18 10H0min0s,76.876
08/11/18 10H30min0s,77.574
08/11/18 11H0min0s,78.098
08/11/18 11H30min0s,78.624
08/11/18 12H0min0s,79.326
08/11/18 12H30min0s,79.502
08/11/18 13H0min0s,78.274
08/11/18 13H30min0s,78.624
08/11/18 14H0min0s,78.624
08/11/18 14H30min0s,80.911
08/11/18 15H0min0s,79.502
08/11/18 15H30min0s,79.853
08/11/18 16H0min0s,80.735
08/11/18 16H30min0s,79.853
08/11/18 17H0min0s,80.382
08/11/18 17H30min0s,79.678
08/11/18 18H0min0s,79.502
08/11/18 18H30min0s,79.502
08/11/18 19H0min0s,79.502
08/11/18 19H30min0s,79.502
08/11/18 20H0min0s,79.502
08/11/18 20H30min0s,79.502
08/11/18 21H0min0s,79.502
08/11/18 21H30min0s,79.502
08/11/18 22H0min0s,79.326
08/11/18 22H30min0s,79.151
08/11/18 23H0min0s,78.8
08/11/18 23H30min0s,78.624
08/12/18 00H0min0s,78.274
08/12/18 00H30min0s,77.923
08/12/18 01H0min0s,77.574
08/12/18 01H30min0s,77.225
08/12/18 02H0min0s,76.876
08/12/18 02H30min0s,76.703
08/12/18 03H0min0s,76.354
08/12/18 03H30min0s,76.181
08/12/18 04H0min0s,75.832
08/12/18 04H30min0s,75.659
08/12/18 05H0min0s,75.484
08/12/18 05H30min0s,75.139
08/12/18 06H0min0s,74.964
08/12/18 06H30min0s,74.791
08/12/18 07H0min0s,74.619
08/12/18 07H30min0s,74.446
08/12/18 08H0min0s,74.619
08/12/18 08H30min0s,74.791
08/12/18 09H0min0s,75.139
08/12/18 09H30min0s,75.659
08/12/18 10H0min0s,76.006
08/12/18 10H30min0s,76.354
08/12/18 11H0min0s,76.876
08/12/18 11H30min0s,77.225
08/12/18 12H0min0s,77.923
08/12/18 12H30min0s,78.274
08/12/18 13H0min0s,78.8
08/12/18 13H30min0s,78.8
08/12/18 14H0min0s,78.975
08/12/18 14H30min0s,79.502
08/12/18 15H0min0s,79.678
08/12/18 15H30min0s,80.206
08/12/18 16H0min0s,80.029
08/12/18 16H30min0s,79.853
08/12/18 17H0min0s,80.206
08/12/18 17H30min0s,79.502
08/12/18 18H0min0s,79.326
08/12/18 18H30min0s,79.326
08/12/18 19H0min0s,79.326
08/12/18 19H30min0s,79.326
08/12/18 20H0min0s,79.326
08/12/18 20H30min0s,79.326
08/12/18 21H0min0s,79.326
08/12/18 21H30min0s,79.151
