 Col. 1 - year
 Col. 2 - month
 Col. 3 - day
 Col. 4 - hour
 Col. 5 - the time from the start of integration, hours
 Col. 6 - surface temperature, C
 Col. 7 - water skin temperature, C
 Col. 8 - water surface temperature, C
 Col. 9 - mean temperature of water coloumn, C
 Col. 10 - maximal temperature in the water coloumn, C
 Col. 11 - zero-dimensional model temperature, C
 Col. 12 - upper ice surface temperature, C
 Col. 13 - upper snow surface temperature, C
 Col. 14 - sensible heat flux,    W/m**2
 Col. 15 - latent heat flux,      W/m**2
 Col. 16 - downward heat flux at the upper lake surface, W/m**2
 Col. 17 - downward heat flux at the lake bottom, W/m**2
 Col. 18 - friction velocity at the surface (waterside), m/s
 Col. 19 - friction velocity at the bottom, m/s
 Col. 20 - wind work at the water surface, W/m**2
 Col. 21 - albedo of the lake-atmosphere interface, n/d
 Col. 22 - shortwave radiation penetrated below surface, W/m**2
 Col. 23 - significant wave height, m
 Col. 24 - bottom ice salinity, kg/kg
 Col. 25 - discharge in x direction, m**3/s
 Col. 26 - discharge in y direction, m**3/s
 Cols. 27... - top soil columns temperature, m
   2018      7      2   12.00        24.00   0.86618E+01   0.00000E+00  -0.66564E-08   0.29074E+01   0.37529E+01   0.00000E+00  -0.20330E-02   0.86576E+01  -0.19884E+02  -0.21296E+01   0.22014E+02  -0.76191E+01   0.48890E-02   0.89027E-09   0.00000E+00       0.85      95.89     0.0000  0.00   0.28914E-05  -0.11307E-04     1.4370     3.6655     3.7077     3.6962     3.7515
   2018      7      3   12.00        48.00   0.91289E+01   0.00000E+00  -0.44454E-08   0.27122E+01   0.35188E+01   0.00000E+00   0.11074E-04   0.91247E+01  -0.19173E+02  -0.51894E+01   0.24362E+02  -0.66377E+01   0.55794E-02   0.41828E-30   0.00000E+00       0.85     109.03     0.0000  0.00  -0.78347E-24  -0.92919E-22     1.3312     3.4210     3.4456     3.4449     3.5188
   2018      7      4   12.00        72.00   0.87746E+01   0.00000E+00  -0.11018E-08   0.25640E+01   0.34351E+01   0.00000E+00   0.61112E-04   0.87705E+01  -0.23337E+02  -0.20091E+01   0.25346E+02  -0.57207E+01   0.48252E-02   0.10143E-48   0.00000E+00       0.85     143.50     0.0000  0.00  -0.11134E-39  -0.13150E-37     1.2033     3.2581     3.2934     3.2972     3.4351
   2018      7      5   12.00        96.00   0.79472E+01   0.00000E+00  -0.20163E-11   0.24701E+01   0.36553E+01   0.00000E+00   0.35315E-01   0.87187E+01  -0.34193E+02  -0.11312E+02   0.45505E+02  -0.72079E+01   0.41028E-02   0.41155E-65   0.00000E+00       0.81     200.58     0.0000  0.00  -0.14997E-55  -0.17714E-53     1.1360     3.1451     3.2001     3.2221     3.6553
   2018      7      6   12.00       120.00   0.42105E+00   0.00000E+00  -0.27069E-09   0.28783E+01   0.43597E+01   0.00000E+00   0.42105E+00   0.83685E+01  -0.11422E+03  -0.10432E+03   0.21854E+03  -0.66655E+02   0.53045E-02   0.78098E-15   0.17878E-03       0.40     263.12     0.0000  0.00   0.58410E-04  -0.12667E+00     1.5967     3.4045     3.6918     4.0222     4.3597
   2018      7      7   12.00       144.00   0.31476E+01   0.00000E+00   0.26302E+01   0.36199E+01   0.46242E+01   0.00000E+00   0.51740E+00   0.83685E+01  -0.12259E+03  -0.10123E+03   0.22604E+03  -0.94200E+02   0.62046E-02   0.29083E-04   0.67144E-02       0.27     281.48     0.0000  0.00  -0.49899E-01  -0.92516E+01     2.6382     4.0745     4.1952     4.2528     4.4281
   2018      7      8   12.00       168.00   0.77785E+01   0.00000E+00   0.77785E+01   0.73470E+01   0.78094E+01   0.00000E+00   0.00000E+00   0.83685E+01  -0.66636E+02  -0.45507E+02   0.10473E+03  -0.69313E+02   0.53309E-02   0.80729E-05   0.57609E-02       0.16     253.93     0.0000  0.00  -0.19229E+00  -0.96436E+01     7.5303     7.3893     7.1418     7.0244     7.1173
   2018      7      9   12.00       192.00   0.10768E+02   0.00000E+00   0.10768E+02   0.10132E+02   0.10787E+02   0.00000E+00   0.00000E+00   0.83685E+01  -0.38992E+02  -0.25845E+02   0.50168E+02  -0.55878E+02   0.56586E-02   0.10310E-06   0.72676E-02       0.16     219.23     0.0000  0.00  -0.25655E+00  -0.10587E+02    10.6084    10.5008     9.4796     8.9327     9.0072
   2018      7     10   12.00       216.00   0.12369E+02   0.00000E+00   0.12369E+02   0.12004E+02   0.12378E+02   0.00000E+00   0.00000E+00   0.83685E+01  -0.17424E+02   0.59758E+00  -0.29276E+01  -0.36484E+02   0.58929E-02   0.53326E-07   0.86266E-02       0.16     180.00     0.0000  0.00  -0.20886E+00  -0.12616E+02    12.2965    12.2568    11.9086    10.5835    10.6354
   2018      7     11   12.00       240.00   0.13204E+02   0.00000E+00   0.13204E+02   0.12838E+02   0.13204E+02   0.00000E+00   0.00000E+00   0.83685E+01  -0.11497E+00   0.10384E+02  -0.31666E+02  -0.21838E+02   0.25078E-02   0.31322E-09   0.84671E-03       0.16     138.69     0.0000  0.00  -0.53581E-01  -0.13896E+01    13.1610    12.9113    12.7368    11.8301    11.8496
