 Col. 1 - year
 Col. 2 - month
 Col. 3 - day
 Col. 4 - hour
 Col. 5 - the time from the start of integration, hours
 Col. 6 - surface temperature, C
 Col. 7 - water skin temperature, C
 Col. 8 - water surface temperature, C
 Col. 9 - mean temperature of water coloumn, C
 Col. 10 - maximal temperature in the water coloumn, C
 Col. 11 - zero-dimensional model temperature, C
 Col. 12 - upper ice surface temperature, C
 Col. 13 - upper snow surface temperature, C
 Col. 14 - sensible heat flux,    W/m**2
 Col. 15 - latent heat flux,      W/m**2
 Col. 16 - downward heat flux at the upper lake surface, W/m**2
 Col. 17 - downward heat flux at the lake bottom, W/m**2
 Col. 18 - friction velocity at the surface (waterside), m/s
 Col. 19 - friction velocity at the bottom, m/s
 Col. 20 - wind work at the water surface, W/m**2
 Col. 21 - albedo of the lake-atmosphere interface, n/d
 Col. 22 - shortwave radiation penetrated below surface, W/m**2
 Col. 23 - significant wave height, m
 Col. 24 - bottom ice salinity, kg/kg
 Col. 25 - discharge in x direction, m**3/s
 Col. 26 - discharge in y direction, m**3/s
 Cols. 27... - top soil columns temperature, m
   2018      7      2   12.00        24.00   0.67822E+01   0.00000E+00  -0.85956E-11   0.20701E+01   0.40060E+01   0.00000E+00  -0.12563E-02   0.67756E+01  -0.28624E+02  -0.16804E+02   0.45428E+02  -0.28936E+01   0.40719E-02   0.57559E-08   0.00000E+00       0.85      96.72     0.0000  0.00   0.55213E-06  -0.97527E-06     0.6566     1.8751     3.1201     3.5655     4.0060
   2018      7      3   12.00        48.00   0.63276E+01   0.00000E+00  -0.17218E-12   0.18302E+01   0.39443E+01   0.00000E+00   0.12148E-01   0.71775E+01  -0.31404E+02  -0.25925E+02   0.57329E+02  -0.49347E+01   0.43926E-02   0.26454E-57   0.00000E+00       0.80     108.47     0.0000  0.00  -0.13348E-48  -0.18930E-46     0.4960     1.6269     2.8108     3.2764     3.9443
   2018      7      4   12.00        72.00   0.98619E-01   0.00000E+00  -0.44229E-18   0.20816E+01   0.42810E+01   0.00000E+00   0.98619E-01   0.74712E+01  -0.41381E+02  -0.37854E+02   0.79235E+02  -0.28975E+02   0.30132E-02   0.29994E-99   0.00000E+00       0.40     139.45     0.0000  0.00  -0.60437E-88  -0.80500E-86     0.8049     1.7527     2.9481     3.8808     4.2810
   2018      7      5   12.00        96.00   0.13547E+00   0.00000E+00  -0.30719E-16   0.27692E+01   0.43269E+01   0.00000E+00   0.13547E+00   0.74712E+01  -0.53893E+02  -0.45412E+02   0.99304E+02  -0.42372E+02   0.33396E-02   0.54970-136   0.00000E+00       0.40     192.26     0.0000  0.00  -0.14365-127  -0.19274-125     1.3592     2.4654     4.0055     4.1943     4.3269
   2018      7      6   12.00       120.00   0.26792E+00   0.00000E+00  -0.17939E-14   0.37883E+01   0.44396E+01   0.00000E+00   0.26792E+00   0.74712E+01  -0.87182E+02  -0.76154E+02   0.16334E+03  -0.58552E+02   0.43066E-02   0.00000E+00   0.00000E+00       0.40     253.97     0.0000  0.00  -0.40318-167  -0.54154-165     2.8122     4.2113     4.2938     4.3106     4.4396
   2018      7      7   12.00       144.00   0.47761E+00   0.00000E+00   0.43686E-02   0.38951E+01   0.44590E+01   0.00000E+00   0.47324E+00   0.74712E+01  -0.64687E+02  -0.53844E+02   0.11872E+03  -0.71493E+02   0.31215E-02   0.43453E-06   0.67684E-03       0.40     274.10     0.0000  0.00  -0.22922E-02   0.27090E+00     3.2068     4.1432     4.2705     4.2998     4.4590
   2018      7      8   12.00       168.00   0.61027E+01   0.00000E+00   0.60632E+01   0.57700E+01   0.64509E+01   0.00000E+00   0.39526E-01   0.74712E+01  -0.75150E+02  -0.52364E+02   0.12742E+03  -0.68922E+02   0.51212E-02   0.23891E-04   0.56128E-02       0.17     247.92     0.0000  0.00  -0.24872E-01   0.24700E+01     5.7840     5.7564     5.7665     5.7102     5.8368
   2018      7      9   12.00       192.00   0.11289E+02   0.00000E+00   0.11289E+02   0.10394E+02   0.11311E+02   0.00000E+00   0.00000E+00   0.74712E+01  -0.30350E+02  -0.14596E+02   0.25918E+02  -0.44255E+02   0.48618E-02   0.18899E-06   0.46299E-02       0.16     216.10     0.0000  0.00   0.30617E-01   0.21056E+01    11.1519    11.0636     9.4431     9.0212     9.0827
   2018      7     10   12.00       216.00   0.13619E+02   0.00000E+00   0.13619E+02   0.12836E+02   0.13628E+02   0.00000E+00   0.00000E+00   0.74712E+01  -0.60112E+01   0.15881E+02  -0.37557E+02  -0.29253E+02   0.43937E-02   0.90048E-07   0.31030E-02       0.16     180.01     0.0000  0.00   0.36562E-02   0.16149E+01    13.5996    13.5768    11.9099    11.1687    11.2114
   2018      7     11   12.00       240.00   0.14094E+02   0.00000E+00   0.14094E+02   0.13662E+02   0.14114E+02   0.00000E+00   0.00000E+00   0.74712E+01   0.35277E+01   0.20339E+02  -0.51428E+02  -0.17725E+02   0.28843E-02   0.32225E-07   0.93549E-03       0.16     140.71     0.0000  0.00  -0.81456E-02   0.60709E+00    14.1091    14.1083    13.1636    12.5638    12.5931
   2018      7     12   12.00       264.00   0.14350E+02   0.00000E+00   0.14350E+02   0.14130E+02   0.14375E+02   0.00000E+00   0.00000E+00   0.74712E+01   0.72952E+01   0.21288E+02  -0.55132E+02  -0.17319E+02   0.29240E-02   0.34811E-08   0.39194E-03       0.16     135.90     0.0000  0.00   0.29859E-01   0.27420E+00    14.3676    14.3727    13.8333    13.6027    13.6301
   2018      7     13   12.00       288.00   0.14807E+02   0.00000E+00   0.14807E+02   0.14740E+02   0.14853E+02   0.00000E+00   0.00000E+00   0.74712E+01   0.69720E+01   0.21566E+02  -0.63667E+02  -0.22847E+02   0.22502E-02   0.56977E-05   0.27514E-03       0.16     150.06     0.0000  0.00   0.12226E-01  -0.26534E+00    14.8326    14.8218    14.6157    14.6082    14.6370
